UNITID,XF1A01,F1A01,XF1A31,F1A31,XF1A04,F1A04,XF1A05,F1A05,XF1A06,F1A06,XF1A07,F1A07,XF1A08,F1A08,XF1A09,F1A09,XF1A10,F1A10,XF1A11,F1A11,XF1A12,F1A12,XF1A13,F1A13,XF1A14,F1A14,XF1A15,F1A15,XF1A16,F1A16,XF1A17,F1A17,XF1A18,F1A18,XF1A214,F1A214,XF1A224,F1A224,XF1A234,F1A234,XF1A324,F1A324,XF1A274,F1A274,XF1A27T4,F1A27T4,XF1A284,F1A284,XF1A334,F1A334,XF1A344,F1A344,XF1B01,F1B01,XF1B02,F1B02,XF1B03,F1B03,XF1B04,F1B04,XF1B04A,F1B04A,XF1B04B,F1B04B,XF1B05,F1B05,XF1B06,F1B06,XF1B26,F1B26,XF1B07,F1B07,XF1B08,F1B08,XF1B09,F1B09,XF1B10,F1B10,XF1B11,F1B11,XF1B12,F1B12,XF1B13,F1B13,XF1B14,F1B14,XF1B15,F1B15,XF1B16,F1B16,XF1B17,F1B17,XF1B18,F1B18,XF1B19,F1B19,XF1B27,F1B27,XF1B20,F1B20,XF1B21,F1B21,XF1B22,F1B22,XF1B23,F1B23,XF1B24,F1B24,XF1B25,F1B25,XF1C011,F1C011,XF1C012,F1C012,XF1C013,F1C013,XF1C016,F1C016,XF1C014,F1C014,XF1C017,F1C017,XF1C015,F1C015,XF1C021,F1C021,XF1C022,F1C022,XF1C023,F1C023,XF1C026,F1C026,XF1C024,F1C024,XF1C027,F1C027,XF1C025,F1C025,XF1C031,F1C031,XF1C032,F1C032,XF1C033,F1C033,XF1C036,F1C036,XF1C034,F1C034,XF1C037,F1C037,XF1C035,F1C035,XF1C051,F1C051,XF1C052,F1C052,XF1C053,F1C053,XF1C056,F1C056,XF1C054,F1C054,XF1C057,F1C057,XF1C055,F1C055,XF1C061,F1C061,XF1C062,F1C062,XF1C063,F1C063,XF1C066,F1C066,XF1C064,F1C064,XF1C067,F1C067,XF1C065,F1C065,XF1C071,F1C071,XF1C072,F1C072,XF1C073,F1C073,XF1C076,F1C076,XF1C074,F1C074,XF1C077,F1C077,XF1C075,F1C075,XF1C081,F1C081,XF1C082,F1C082,XF1C083,F1C083,XF1C086,F1C086,XF1C084,F1C084,XF1C087,F1C087,XF1C085,F1C085,XF1C101,F1C101,XF1C105,F1C105,XF1C111,F1C111,XF1C112,F1C112,XF1C113,F1C113,XF1C116,F1C116,XF1C114,F1C114,XF1C117,F1C117,XF1C115,F1C115,XF1C121,F1C121,XF1C122,F1C122,XF1C123,F1C123,XF1C126,F1C126,XF1C124,F1C124,XF1C127,F1C127,XF1C125,F1C125,XF1C131,F1C131,XF1C132,F1C132,XF1C133,F1C133,XF1C136,F1C136,XF1C134,F1C134,XF1C137,F1C137,XF1C135,F1C135,XF1C141,F1C141,XF1C142,F1C142,XF1C143,F1C143,XF1C146,F1C146,XF1C144,F1C144,XF1C147,F1C147,XF1C145,F1C145,XF1C191,F1C191,XF1C192,F1C192,XF1C193,F1C193,XF1C196,F1C196,XF1C194,F1C194,XF1C197,F1C197,XF1C195,F1C195,XF1D01,F1D01,XF1D02,F1D02,XF1D03,F1D03,XF1D04,F1D04,XF1D05,F1D05,XF1D06,F1D06,XF1E01,F1E01,XF1E02,F1E02,XF1E03,F1E03,XF1E04,F1E04,XF1E05,F1E05,XF1E06,F1E06,XF1E07,F1E07,XF1E08,F1E08,XF1E09,F1E09,XF1E10,F1E10,XF1E11,F1E11,F1FHA,XF1H01,F1H01,XF1H02,F1H02   
100654,"R",70373330,"R",123248874,"R",4462603,"R",127711477,"R",198084807,"R",2970000,"R",59537615,"R",62507615,"R",53759385,"R",0,"R",53759385,"R",116267000,"R",65884806,"R",17281478,"Z",0,"R",-1348477,"R",81817807,"R",4982207,"R",0,"R",161324285,"R",27129905,"R",16932962,"R",210369359,"R",87120485,"R",0,"R",0,"R",24252983,"R",2951930,"R",1376683,"R",0,"R",0,"R",0,"R",14979412,"R",0,"R",2284895,"R",0,"R",37063267,"R",82909170,"R",5294117,"R",38821235,"R",0,"R",16282959,"R",0,"R",0,"R",0,"R",380888,"R",1676816,"R",62456015,"R",145365185,"R",0,"R",0,"R",0,"R",0,"R",0,"R",145365185,"R",35866962,"R",20990422,"R",5717412,"R",2112578,"R",1562571,"R",590049,"R",4893930,"R",14005536,"R",5160321,"R",1062409,"R",824932,"R",610161,"R",230406,"R",6117307,"R",20926172,"R",9065030,"R",2393646,"R",1232560,"R",911664,"R",344257,"R",6979015,"R",7158256,"R",3546100,"R",870330,"R",421624,"R",311855,"R",117761,"R",1890586,"R",11634076,"R",5473273,"R",1527135,"R",685252,"R",506847,"R",191393,"R",3250176,"R",21083793,"R",9903769,"R",4407795,"R",1241844,"R",918531,"R",346850,"R",4265004,"R",0,"R",0,"R",0,"R",-7078029,"R",0,"R",0,"R",7078029,"R",17868857,"R",17868857,"R",9494647,"R",1554412,"R",411796,"R",559239,"R",413641,"R",156197,"R",6399362,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2903959,"R",409598,"R",24117,"R",0,"R",904983,"R",341734,"R",1223527,"R",140942258,"R",56102925,"R",16414640,"R",0,"R",6140253,"R",2318647,"R",59965793,"R",145365185,"R",140942258,"R",4422927,"R",77394879,"R",1,"R",81817807,"R",16044631,"R",779700,"R",0,"R",0,"R",0,"R",13307084,"R",30131415,"R",11828843,"R",433715,"R",12262558,"R",17868857,2 ,"A",,"A",
100663,"R",873280249,"R",1478968981,"R",1158711945,"R",2637680926,"R",3510961175,"R",23545705,"R",322207462,"R",345753167,"R",794950360,"R",30965384,"R",825915744,"R",1171668911,"R",754025143,"R",208990274,"R",228120369,"R",1148156478,"R",2339292264,"R",97048721,"R",96963036,"R",1988340545,"R",804774337,"R",49441995,"R",3036568634,"R",1557599653,"R",0,"R",0,"R",116024423,"R",394941337,"R",6160229,"R",74459407,"R",2923958,"R",71535449,"R",414680344,"R",1109661547,"R",53034123,"R",0,"R",44290578,"R",2213251988,"R",0,"R",254288538,"R",0,"R",19725447,"R",105179,"R",0,"R",28975297,"R",-5406868,"R",75524507,"R",373212100,"R",2586464088,"R",9863264,"R",6036961,"R",9561889,"R",0,"R",25462114,"R",2611926202,"R",265531807,"R",166054542,"R",49762599,"R",10362887,"R",11774271,"R",672919,"R",26904589,"R",370984347,"R",171610270,"R",40332103,"R",14054442,"R",18065887,"R",1123071,"R",125798574,"R",94476226,"R",35369342,"R",10767183,"R",748946,"R",12189146,"R",404058,"R",34997551,"R",162824761,"R",84746763,"R",25428804,"R",2564463,"R",13015550,"R",934722,"R",36134459,"R",25376017,"R",10363438,"R",3050761,"R",2549591,"R",1577300,"R",994503,"R",6840424,"R",102291300,"R",39592378,"R",14275230,"R",10093074,"R",5998744,"R",1957415,"R",30374459,"R",0,"R",20409588,"R",6509952,"R",-60571038,"R",3869812,"R",1560581,"R",28221105,"R",19012364,"R",19012364,"R",415128373,"R",28907562,"R",4061206,"R",4592318,"R",7442119,"R",620225,"R",369504943,"R",1053985929,"R",391777124,"R",123710914,"R",15605317,"R",53815952,"R",21283560,"R",447793062,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2509611124,"R",948831007,"R",277898752,"R",0,"R",127748781,"R",29551054,"R",1125581530,"R",2611926202,"R",2509611124,"R",102315078,"R",2236977186,"R",0,"R",2339292264,"R",18816583,"R",11858106,"R",262696,"R",0,"R",12300916,"R",24892129,"R",68130430,"R",45695165,"R",3422901,"R",49118066,"R",19012364,1 ,"R",333798887,"R",326970873
100706,"R",131568438,"R",202250814,"R",63192336,"R",265443150,"R",397011588,"R",2790000,"R",45623908,"R",48413908,"R",80861000,"R",0,"R",80861000,"R",129274908,"R",126483662,"R",7636765,"R",3774113,"R",129842140,"R",267736680,"R",12168220,"R",0,"R",285729470,"R",88298614,"R",720876,"R",386917180,"R",183185521,"R",2939750,"R",0,"R",45030169,"R",74645843,"R",4094758,"R",1422762,"R",0,"R",1422762,"R",8172943,"R",0,"R",5229509,"R",0,"R",0,"R",138595984,"R",0,"R",42703771,"R",0,"R",8558340,"R",0,"R",0,"R",2993936,"R",306941,"R",6081548,"R",60644536,"R",199240520,"R",0,"R",1555390,"R",319165,"R",0,"R",1874555,"R",201115075,"R",59447294,"R",32890203,"R",11220130,"R",2370477,"R",3533001,"R",660442,"R",8773041,"R",79509733,"R",45830453,"R",13464715,"R",3240400,"R",3550033,"R",303869,"R",13120263,"R",1455070,"R",381380,"R",111095,"R",57085,"R",124558,"R",0,"R",780952,"R",12648300,"R",5028037,"R",1608194,"R",493018,"R",1025713,"R",131613,"R",4361725,"R",13104024,"R",5013992,"R",1632318,"R",551838,"R",229545,"R",12569,"R",5663762,"R",18440793,"R",8452965,"R",3565251,"R",748780,"R",944550,"R",43362,"R",4685885,"R",0,"R",3674958,"R",1419372,"R",-7663698,"R",289190,"R",0,"R",2280178,"R",1286400,"R",1286400,"R",9482566,"R",1066520,"R",269758,"R",202100,"R",2510799,"R",2261346,"R",3172043,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",195374180,"R",102338508,"R",33290833,"R",0,"R",12207389,"R",3413201,"R",44124249,"R",201115075,"R",195374180,"R",5740895,"R",261995785,"R",0,"R",267736680,"R",8558340,"R",536731,"R",19758,"R",0,"R",3358725,"R",7698573,"R",20172127,"R",17691842,"R",1193885,"R",18885727,"R",1286400,1 ,"R",55337316,"R",55859775
100724,"R",131685062,"R",254598127,"R",12845932,"R",267444059,"R",399129121,"R",4371446,"R",38226015,"R",42597461,"R",213379865,"R",6910841,"R",220290706,"R",262888167,"R",101938521,"R",8462298,"R",250000,"R",25590135,"R",136240954,"R",19569631,"R",14178478,"R",188077441,"R",27609857,"R",95529138,"R",344964545,"R",90366418,"R",0,"R",0,"R",40242026,"R",11200449,"R",5105953,"R",1869456,"R",0,"R",1869456,"R",10508055,"R",0,"R",0,"R",0,"R",4632627,"R",73558566,"Z",0,"R",47145282,"Z",0,"R",20093826,"Z",0,"Z",0,"R",2284454,"R",-578221,"R",0,"R",68945341,"R",142503907,"R",7695826,"R",0,"R",0,"R",0,"R",7695826,"R",150199733,"R",42256957,"R",24988772,"R",6302762,"R",3917842,"R",2232967,"R",2905265,"R",1909349,"R",2204498,"R",571761,"R",121444,"R",204390,"R",116491,"R",151564,"R",1038848,"R",10786713,"R",961437,"R",288339,"R",1000087,"R",569998,"R",741612,"R",7225240,"R",10387958,"R",4236413,"R",1118589,"R",963117,"R",548927,"R",714196,"R",2806716,"R",14814037,"R",6167713,"R",1749925,"R",1373480,"R",782812,"R",1018500,"R",3721607,"R",31584359,"R",8483504,"R",4564671,"R",2928335,"R",1668999,"R",2171499,"R",11767351,"R",0,"R",4301268,"R",1564471,"R",-11214193,"Z",0,"Z",0,"R",5348454,"R",23594767,"R",23594767,"R",8919211,"R",1947164,"R",663089,"R",826942,"R",471314,"R",613217,"R",4397485,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2484614,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2484614,"R",147033114,"R",51658032,"R",16373290,"R",0,"R",6391508,"R",8315853,"R",64294431,"R",150199733,"R",147033114,"R",3166619,"R",133074335,"R",0,"R",136240954,"R",19797490,"R",296336,"R",12000,"R",0,"R",3488941,"R",11363820,"R",34958587,"R",6250101,"R",5113719,"R",11363820,"R",23594767,1 ,"R",63016848,"R",73383204
100733,"R",5223582,"R",640523,"R",10397898,"R",11038421,"R",16262003,"R",0,"R",2220512,"R",2220512,"R",0,"R",0,"R",0,"R",2220512,"R",640523,"R",0,"R",0,"R",13400968,"R",14041491,"R",106750,"R",56543,"R",1750878,"R",813233,"R",0,"R",2727404,"R",2107140,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"A",,"R",14115000,"R",14115000,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",110953,"R",2271,"R",113224,"R",14228224,"R",0,"R",0,"R",0,"R",0,"R",0,"R",14228224,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",13285708,"R",11039849,"R",0,"Z",0,"R",134639,"R",0,"R",2111220,"R",13285708,"R",11039849,"R",0,"R",0,"R",134639,"R",0,"R",2111220,"R",14228224,"R",13285708,"R",942516,"R",13098975,"R",0,"R",14041491,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,2 ,"A",,"A",
100751,"R",450286767,"R",1126752587,"R",1126830365,"R",2253582952,"R",2703869719,"R",43293272,"R",334086869,"R",377380141,"R",682261808,"R",29589606,"R",711851414,"R",1089231555,"R",598396659,"R",311521231,"R",279790271,"R",424930003,"R",1614638164,"R",62513055,"R",44305994,"R",1105980174,"R",230471440,"R",132919774,"R",1576190437,"R",497912221,"R",48474371,"R",0,"R",288532882,"R",42641125,"R",21552559,"R",10126347,"R",268978,"R",9857369,"R",122446271,"R",0,"R",11836707,"R",0,"R",41465749,"R",538601640,"R",0,"R",137427195,"R",0,"R",30117746,"R",0,"R",0,"R",53594605,"R",1125350,"R",21262964,"R",243527860,"R",782129500,"R",20257391,"R",26900828,"R",16623409,"R",0,"R",63781628,"R",845911128,"R",289042702,"R",140977646,"R",57286060,"R",35952786,"R",13561683,"R",12563135,"R",28701392,"R",55068280,"R",15216874,"R",6314916,"R",7160956,"R",4434742,"R",0,"R",21940792,"R",46787822,"R",22223778,"R",6707497,"R",6084184,"R",1409479,"R",0,"R",10362884,"R",84573520,"R",38671344,"R",12072482,"R",10997752,"R",8315400,"R",0,"R",14516542,"R",46561673,"R",19006771,"R",5466332,"R",6054776,"R",3089421,"R",0,"R",12944373,"R",75434968,"R",32771135,"R",19152702,"R",9691661,"R",3239940,"R",905387,"R",9674143,"R",0,"R",0,"R",0,"R",-75942115,"R",0,"R",0,"R",75942115,"R",10323158,"R",10323158,"R",148621616,"R",39555022,"R",11209706,"R",0,"R",13853278,"R",21872097,"R",62131513,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",9200715,"R",0,"R",0,"R",0,"R",0,"R",0,"R",9200715,"R",765614454,"R",308422570,"R",118209695,"R",0,"R",47903943,"R",35340619,"R",255737627,"R",845911128,"R",765614454,"R",80296674,"R",1534341490,"R",0,"R",1614638164,"R",25431565,"R",19034969,"R",562031,"R",0,"R",12216117,"R",50046452,"R",107291134,"R",89512958,"R",7455018,"R",96967976,"R",10323158,1 ,"R",631947260,"R",616925376
100760,"R",12737432,"R",22136852,"R",907469,"R",23044321,"R",35781753,"R",425090,"R",3025317,"R",3450407,"R",6227467,"R",428896,"R",6656363,"R",10106770,"R",16405684,"R",1281911,"R",500,"R",7986888,"R",25674983,"R",1699274,"R",2217190,"R",25167160,"R",5470738,"R",3369784,"R",37924146,"R",15787294,"Z",0,"Z",0,"R",3518255,"R",2697588,"R",763475,"R",7420,"R",1000,"R",6420,"Z",0,"A",,"R",2345,"A",,"R",0,"R",6989083,"Z",0,"R",8660876,"Z",0,"R",14347067,"Z",0,"Z",0,"R",151874,"R",20590,"R",438330,"R",23618737,"R",30607820,"Z",0,"R",2108146,"Z",0,"R",21,"R",2108167,"R",32715987,"R",10775040,"R",6074287,"R",1728277,"R",951825,"R",712807,"R",164740,"R",1143104,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",340851,"R",162299,"R",65480,"R",30109,"R",22549,"R",5211,"R",55203,"R",1095425,"R",512301,"R",165686,"R",96766,"R",72466,"R",16748,"R",231458,"R",2444582,"R",1170287,"R",458121,"R",215945,"R",161718,"R",37375,"R",401136,"R",3063352,"R",1324653,"R",494976,"R",270605,"R",202652,"R",46836,"R",723630,"R",0,"R",353288,"R",165876,"R",-1565250,"Z",0,"Z",0,"R",1046086,"R",12011207,"R",12011207,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",242336,"R",0,"R",0,"R",0,"R",0,"R",0,"R",242336,"R",29972793,"R",9597115,"R",3078416,"R",0,"R",1172192,"R",270910,"R",15854160,"R",32715987,"R",29972793,"R",2743194,"R",22932492,"R",-703,"R",25674983,"R",14347067,"Z",0,"R",763475,"Z",0,"Z",0,"R",596993,"R",15707535,"R",3696328,"R",0,"R",3696328,"R",12011207,1 ,"R",196146,"R",349022
100812,"R",17074365,"R",31775556,"R",4427225,"R",36202781,"R",53277146,"R",589850,"R",5799178,"R",6389028,"R",15821882,"R",714473,"R",16536355,"R",22925383,"R",15363824,"R",7630610,"R",0,"R",7357329,"R",30351763,"R",2291056,"R",1228005,"R",22453339,"R",3794998,"R",13864755,"R",43632153,"R",11856597,"R",0,"R",0,"R",12707621,"R",1897204,"R",3135947,"R",321638,"R",321638,"Z",0,"R",362591,"R",0,"R",0,"R",0,"R",12988,"R",18437989,"R",0,"R",10807893,"R",0,"R",4886659,"R",0,"R",0,"R",181516,"R",127293,"R",260284,"R",16263645,"R",34701634,"R",0,"R",0,"R",0,"R",0,"R",0,"R",34701634,"R",16583901,"R",10294777,"R",3007353,"R",1546108,"R",429733,"R",193227,"R",1112703,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2329051,"R",1320471,"R",426976,"R",248482,"R",69064,"Z",0,"R",264058,"R",2861156,"R",1709889,"R",603602,"R",303700,"R",84412,"Z",0,"R",159553,"R",5829947,"R",2267176,"R",861546,"R",662617,"R",184171,"Z",0,"R",1854437,"R",0,"R",1249282,"R",511690,"R",-2760907,"Z",0,"Z",0,"R",999935,"R",2868837,"R",2868837,"R",596599,"R",127174,"R",47067,"Z",0,"Z",0,"Z",0,"R",422358,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",346646,"R",0,"R",0,"R",0,"R",0,"R",0,"R",346646,"R",31416137,"R",16968769,"R",5458234,"R",0,"R",767380,"R",193227,"R",8028527,"R",34701634,"R",31416137,"R",3285497,"R",27065625,"R",641,"R",30351763,"R",4886659,"R",501729,"R",42862,"Z",0,"Z",0,"R",801660,"R",6232910,"R",3364073,"R",0,"R",3364073,"R",2868837,1 ,"R",1808283,"R",1997418
100830,"R",16498223,"R",47559379,"R",67638550,"R",115197929,"R",131696152,"R",290000,"R",17265542,"R",17555542,"R",910000,"R",59428951,"R",60338951,"R",77894493,"R",11525626,"R",23930087,"Z",0,"R",18345946,"R",53801659,"R",1085032,"R",1906243,"R",54151052,"R",31621627,"R",11595319,"R",100359273,"R",55614170,"Z",0,"Z",0,"R",28482047,"R",3113049,"R",10110891,"R",360368,"R",174608,"R",185760,"R",5871203,"Z",0,"Z",0,"Z",0,"R",4101126,"R",52038684,"R",1971521,"R",22826807,"Z",0,"R",8464469,"Z",0,"Z",0,"R",439897,"R",1729114,"R",0,"R",35431808,"R",87470492,"Z",0,"R",2800,"R",36894,"R",0,"R",39694,"R",87510186,"R",25804785,"R",18448457,"R",5305272,"R",862393,"R",264105,"Z",0,"R",924558,"R",679710,"R",334396,"R",88687,"R",107899,"R",33044,"Z",0,"R",115684,"R",15216244,"R",4721775,"R",1250765,"R",3886639,"R",1190270,"Z",0,"R",4166795,"R",3375630,"R",2181385,"R",658797,"R",225139,"R",68948,"Z",0,"R",241361,"R",4975302,"R",3044573,"R",827776,"R",463749,"R",142021,"Z",0,"R",497183,"R",11266116,"R",5004010,"R",1804024,"R",1874463,"R",574048,"Z",0,"R",2009571,"R",0,"R",731438,"R",232105,"R",-8179143,"Z",0,"Z",0,"R",7215600,"R",4805414,"R",4805414,"R",4682763,"R",565171,"R",136483,"R",758861,"R",232398,"R",2176288,"R",813562,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",14386223,"R",1176953,"R",500303,"R",0,"R",0,"R",0,"R",12708967,"R",85192187,"R",36208158,"R",10804212,"R",0,"R",2504834,"R",2176288,"R",33498695,"R",87510186,"R",85192187,"R",2317999,"R",51193331,"R",290329,"R",53801659,"R",8464469,"R",161350,"R",119437,"Z",0,"R",587110,"R",4212591,"R",13544957,"R",8236941,"R",502602,"R",8739543,"R",4805414,1 ,"R",35961073,"R",36107626
100858,"R",253920342,"R",1100319443,"R",1083954821,"R",2184274264,"R",2438194606,"R",21777757,"R",235570137,"R",257347894,"R",739597126,"R",59631005,"R",799228131,"R",1056576025,"R",665678074,"R",152368316,"R",20379096,"R",543193095,"R",1381618581,"R",97802829,"R",175645856,"R",1155148807,"R",342082474,"R",68289085,"R",1838969051,"R",646771769,"R",0,"R",1820885,"R",266244553,"R",93499316,"R",5574817,"R",13484589,"R",2990195,"R",10494394,"R",100299127,"R",0,"R",29668256,"Z",0,"R",14007011,"R",522777669,"R",0,"R",212897335,"R",0,"R",16364617,"R",0,"R",0,"R",31894158,"R",17958657,"R",22457568,"R",301572335,"R",824350004,"R",18477217,"R",29517358,"R",1318938,"R",0,"R",49313513,"R",873663517,"R",260942955,"R",139462018,"R",45757211,"R",27366687,"R",17499626,"R",2999615,"R",27857798,"R",129023989,"R",55133753,"R",22350148,"R",8127203,"R",8652740,"R",890809,"R",33869336,"R",99735467,"R",39505097,"R",14121859,"R",2010926,"R",6688563,"R",220414,"R",37188608,"R",55496379,"R",27894483,"R",8561857,"R",8635154,"R",3721757,"R",946484,"R",5736644,"R",21052393,"R",10016049,"R",2517001,"R",897611,"R",1411837,"R",98386,"R",6111509,"R",68553956,"R",42493923,"R",16889753,"R",1029817,"R",4597436,"R",112876,"R",3430151,"R",0,"R",18837024,"R",6210285,"R",-69582220,"R",0,"R",0,"R",44534911,"R",11154327,"R",11154327,"R",130472055,"R",31552070,"R",8247257,"R",21514822,"R",8749852,"R",2358203,"R",58049851,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",776431521,"R",364894417,"R",124655371,"R",0,"R",51321811,"R",7626787,"R",227933135,"R",873663517,"R",776431521,"R",97231996,"R",1269294273,"R",15092312,"R",1381618581,"R",16364617,"R",626185,"R",0,"R",0,"R",21193760,"R",68285986,"R",106470548,"R",89996555,"R",5319666,"R",95316221,"R",11154327,1 ,"R",410583892,"R",412740663
