UNITID,XF3A01,F3A01,XF3A02,F3A02,XF3A03,F3A03,XF3A04,F3A04,XF3B01,F3B01,XF3B02,F3B02,XF3B03,F3B03,XF3B04,F3B04,XF3B05,F3B05,XF3B06,F3B06,XF3B07,F3B07,XF3B08,F3B08,XF3C01,F3C01,XF3C02,F3C02,XF3C03,F3C03,XF3C04,F3C04,XF3C05,F3C05,XF3C06,F3C06,XF3C07,F3C07,XF3D01,F3D01,XF3D02,F3D02,XF3D03,F3D03,XF3D04,F3D04,XF3D05,F3D05,XF3D06,F3D06,XF3D07,F3D07,XF3D08,F3D08,XF3D09,F3D09,XF3E01,F3E01,XF3E02,F3E02,XF3E03,F3E03,XF3E04,F3E04,XF3E05,F3E05,XF3E06,F3E06,XF3E07,F3E07   
101116,"R",9104536,"R",4974494,"R",4130042,"R",9104536,"R",13356290,"R",10052013,"R",-1187184,"R",2117093,"R",-2098710,"R",4111659,"R",0,"R",4130042,"R",3378286,"R",212858,"R",1098847,"R",303214,"R",4993205,"R",4993205,"R",0,"R",8036223,"R",3591143,"R",1098847,"R",0,"R",0,"R",0,"R",630077,"R",0,"R",13356290,"R",2522429,"R",0,"R",7063186,"R",466398,"R",0,"R",0,"R",10052013
101277,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",19572,"R",0,"R",19572,"R",0,"R",0,"R",168932,"R",0,"R",0,"R",0,"R",0,"R",56945,"A",,"R",0,"R",225877,"R",140377,"Z",0,"R",44247,"A",,"R",0,"R",0,"R",184624
101365,"R",11507266,"R",1032576,"R",10474690,"R",11507266,"R",6471926,"R",5479788,"R",-152109,"R",840029,"A",,"R",9632821,"R",1840,"R",10474690,"R",1946184,"R",69228,"R",20310,"R",40784,"R",2076506,"R",2076506,"Z",0,"R",6471926,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",6471926,"R",2879162,"Z",0,"R",2600626,"Z",0,"Z",0,"R",0,"R",5479788
101958,"R",164000,"R",30201,"R",133799,"R",164000,"R",986212,"R",804111,"R",-94600,"R",87501,"R",-173000,"R",118090,"R",101208,"R",133799,"R",280460,"R",0,"R",0,"R",0,"R",280460,"R",0,"R",0,"R",916000,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",70212,"R",986212,"R",307000,"R",0,"R",0,"R",84000,"R",0,"R",413111,"R",804111
102845,"R",20428724,"R",4865928,"R",15562796,"R",20428724,"R",38524166,"R",36763228,"R",-359039,"R",1401899,"R",0,"R",14160897,"R",0,"R",15562796,"R",9763677,"R",387147,"R",347545,"Z",0,"R",10498369,"R",150933,"Z",0,"R",38518242,"Z",0,"Z",0,"Z",0,"R",5924,"Z",0,"Z",0,"R",0,"R",38524166,"R",13979254,"Z",0,"R",20745135,"Z",0,"Z",0,"R",2038839,"R",36763228
103501,"R",5404789,"R",1441209,"R",3963580,"R",5404789,"R",4955826,"R",4482016,"R",0,"R",473810,"A",,"A",,"R",3489770,"R",3963580,"R",1517404,"R",34454,"R",283415,"R",18439,"R",1853712,"Z",0,"Z",0,"R",4873595,"R",0,"R",0,"R",0,"R",1620,"R",80611,"R",0,"R",0,"R",4955826,"R",1377962,"R",0,"R",3104054,"R",0,"R",0,"R",0,"R",4482016
103644,"R",37307924,"R",2976204,"R",34331720,"R",37307924,"R",80050537,"R",79789291,"R",0,"R",261246,"R",-984057,"R",35054531,"R",0,"R",34331720,"R",24131639,"R",141543,"R",3078,"R",0,"R",24276260,"R",0,"R",0,"R",80050537,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",80050537,"R",36043377,"R",0,"R",43745914,"R",0,"R",0,"R",0,"R",79789291
103723,"R",13679561,"R",7464258,"R",6215303,"R",13679561,"R",25055531,"R",22645002,"R",-890954,"R",1519575,"R",-29995252,"R",34690980,"R",0,"R",6215303,"R",4500276,"R",657791,"R",78797,"Z",0,"R",5236864,"R",221565,"Z",0,"R",21261863,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3457738,"R",335930,"R",25055531,"R",4010541,"Z",0,"R",13933835,"R",2673744,"Z",0,"R",2026882,"R",22645002
103732,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",477111,"R",2250,"R",0,"R",6283,"R",485644,"Z",0,"Z",0,"R",1105824,"Z",0,"Z",0,"Z",0,"Z",0,"R",153961,"A",,"R",100509,"R",1360294,"R",1124375,"Z",0,"R",98365,"A",,"Z",0,"R",0,"R",1222740
103741,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",952938,"R",5400,"R",39138,"R",1800,"R",999276,"Z",0,"Z",0,"R",1798908,"Z",0,"Z",0,"Z",0,"Z",0,"R",162890,"A",,"R",217687,"R",2179485,"R",1657604,"Z",0,"R",103217,"A",,"Z",0,"R",0,"R",1760821
